Year,Subregion,Species_CD,Abundance,Relative Abundance ,Effort
1999,1,1,0,0,44
1999,2,1,0,0,70
1999,3,1,0,0,34
1999,4,1,1,1.39E-05,208
2000,1,1,0,0,90
2000,2,1,0,0,33
2000,3,1,0,0,32
2000,4,1,0,0,194
2001,1,1,0,0,131
2001,2,1,0,0,51
2001,3,1,0,0,26
2001,4,1,0,NaN,0
2002,1,1,0,0,202
2002,2,1,0,0,54
2002,3,1,0,0,32
2002,4,1,0,NaN,0
2003,1,1,0,0,199
2003,2,1,0,0,22
2003,3,1,0,0,17
2003,4,1,0,NaN,0
2004,1,1,0,0,152
2004,2,1,0,NaN,0
2004,3,1,0,0,1
2004,4,1,0,0,321
2005,1,1,0,0,148
2005,2,1,0,0,42
2005,3,1,0,0,18
2005,4,1,0,NaN,0
2006,1,1,1,2.10E-05,193
2006,2,1,0,0,62
2006,3,1,0,0,23
2006,4,1,0,0,262
2007,1,1,0,0,181
2007,2,1,0,0,66
2007,3,1,0,0,38
2007,4,1,0,NaN,0
2008,1,1,0,0,221
2008,2,1,0,0,78
2008,3,1,0,0,41
2008,4,1,0,0,353
2009,1,1,0,0,257
2009,2,1,0,0,107
2009,3,1,0,0,55
2009,4,1,0,NaN,0
2010,1,1,0,0,188
2010,2,1,0,0,68
2010,3,1,0,0,41
2010,4,1,0,0,383
2011,1,1,0,0,191
2011,2,1,0,0,82
2011,3,1,0,0,44
2011,4,1,0,NaN,0
2012,1,1,0,0,223
2012,2,1,0,0,81
2012,3,1,0,0,28
2012,4,1,0,0,421
2014,1,1,0,0,25
2014,2,1,0,0,43
2014,3,1,0,0,34
2014,4,1,0,0,409
1999,1,2,0,0,44
1999,2,2,1,5.87E-05,70
1999,3,2,0,0,34
1999,4,2,3.5,4.87E-05,208
2000,1,2,0,0,90
2000,2,2,0,0,33
2000,3,2,0,0,32
2000,4,2,2.5,2.98E-05,194
2001,1,2,2,2.32E-05,131
2001,2,2,0,0,51
2001,3,2,0,0,26
2001,4,2,0,NaN,0
2002,1,2,4,6.99E-05,202
2002,2,2,0,0,54
2002,3,2,0,0,32
2002,4,2,0,NaN,0
2003,1,2,3,4.66E-05,199
2003,2,2,0.5,4.95E-05,22
2003,3,2,0,0,17
2003,4,2,0,NaN,0
2004,1,2,0.5,1.04E-05,152
2004,2,2,0,NaN,0
2004,3,2,0,0,1
2004,4,2,4,3.32E-05,321
2005,1,2,0.5,1.26E-05,148
2005,2,2,0,0,42
2005,3,2,0,0,18
2005,4,2,0,NaN,0
2006,1,2,0,0,193
2006,2,2,0,0,62
2006,3,2,0,0,23
2006,4,2,9.5,5.72E-05,262
2007,1,2,0.5,1.07E-05,181
2007,2,2,1.5,7.35E-05,66
2007,3,2,0,0,38
2007,4,2,0,NaN,0
2008,1,2,0,0,221
2008,2,2,0,0,78
2008,3,2,0.5,4.57E-05,41
2008,4,2,7.5,2.62E-05,353
2009,1,2,0.5,5.34E-06,257
2009,2,2,4,7.93E-05,107
2009,3,2,2,8.89E-05,55
2009,4,2,0,NaN,0
2010,1,2,0,0,188
2010,2,2,0,0,68
2010,3,2,0,0,41
2010,4,2,3.5,2.08E-05,383
2011,1,2,1,1.47E-05,191
2011,2,2,0.5,1.45E-05,82
2011,3,2,0.5,2.92E-05,44
2011,4,2,0,NaN,0
2012,1,2,1,1.40E-05,223
2012,2,2,0.5,1.57E-05,81
2012,3,2,0,0,28
2012,4,2,4,1.42E-05,421
2014,1,2,0,0,25
2014,2,2,0,0,43
2014,3,2,0,0,34
2014,4,2,19,5.72E-05,409
1999,1,3,0,0,44
1999,2,3,0,0,70
1999,3,3,0,0,34
1999,4,3,0,0,208
2000,1,3,0,0,90
2000,2,3,0,0,33
2000,3,3,0,0,32
2000,4,3,0,0,194
2001,1,3,0,0,131
2001,2,3,0,0,51
2001,3,3,0,0,26
2001,4,3,0,NaN,0
2002,1,3,1,1.75E-05,202
2002,2,3,0,0,54
2002,3,3,0,0,32
2002,4,3,0,NaN,0
2003,1,3,0,0,199
2003,2,3,0,0,22
2003,3,3,0,0,17
2003,4,3,0,NaN,0
2004,1,3,0,0,152
2004,2,3,0,NaN,0
2004,3,3,0,0,1
2004,4,3,0,0,321
2005,1,3,0,0,148
2005,2,3,0,0,42
2005,3,3,0,0,18
2005,4,3,0,NaN,0
2006,1,3,0,0,193
2006,2,3,0.5,2.24E-05,62
2006,3,3,0,0,23
2006,4,3,1.5,9.02E-06,262
2007,1,3,0,0,181
2007,2,3,0.5,2.45E-05,66
2007,3,3,0,0,38
2007,4,3,0,NaN,0
2008,1,3,0,0,221
2008,2,3,0,0,78
2008,3,3,1,9.14E-05,41
2008,4,3,0,0,353
2009,1,3,0,0,257
2009,2,3,0,0,107
2009,3,3,0,0,55
2009,4,3,0,NaN,0
2010,1,3,0,0,188
2010,2,3,0,0,68
2010,3,3,0,0,41
2010,4,3,0,0,383
2011,1,3,0,0,191
2011,2,3,0,0,82
2011,3,3,0,0,44
2011,4,3,0,NaN,0
2012,1,3,0,0,223
2012,2,3,0,0,81
2012,3,3,0,0,28
2012,4,3,0,0,421
2014,1,3,0,0,25
2014,2,3,0,0,43
2014,3,3,0,0,34
2014,4,3,0,0,409
1999,1,4,0,0,44
1999,2,4,0,0,70
1999,3,4,0,0,34
1999,4,4,0,0,208
2000,1,4,0,0,90
2000,2,4,0,0,33
2000,3,4,0,0,32
2000,4,4,0,0,194
2001,1,4,0,0,131
2001,2,4,0,0,51
2001,3,4,0,0,26
2001,4,4,0,NaN,0
2002,1,4,0,0,202
2002,2,4,0,0,54
2002,3,4,0,0,32
2002,4,4,0,NaN,0
2003,1,4,0,0,199
2003,2,4,0,0,22
2003,3,4,0,0,17
2003,4,4,0,NaN,0
2004,1,4,0,0,152
2004,2,4,0,NaN,0
2004,3,4,0,0,1
2004,4,4,0.5,4.15E-06,321
2005,1,4,0,0,148
2005,2,4,0,0,42
2005,3,4,0,0,18
2005,4,4,0,NaN,0
2006,1,4,0,0,193
2006,2,4,0,0,62
2006,3,4,0,0,23
2006,4,4,0,0,262
2007,1,4,0,0,181
2007,2,4,0,0,66
2007,3,4,0,0,38
2007,4,4,0,NaN,0
2008,1,4,0,0,221
2008,2,4,0,0,78
2008,3,4,0,0,41
2008,4,4,0,0,353
2009,1,4,0,0,257
2009,2,4,0,0,107
2009,3,4,0,0,55
2009,4,4,0,NaN,0
2010,1,4,0,0,188
2010,2,4,0,0,68
2010,3,4,0,0,41
2010,4,4,0,0,383
2011,1,4,0,0,191
2011,2,4,0,0,82
2011,3,4,0,0,44
2011,4,4,0,NaN,0
2012,1,4,0,0,223
2012,2,4,0,0,81
2012,3,4,0,0,28
2012,4,4,1,3.55E-06,421
2014,1,4,0,0,25
2014,2,4,0,0,43
2014,3,4,0,0,34
2014,4,4,0,0,409
1999,1,5,0,0,44
1999,2,5,3,0.00017614,70
1999,3,5,0,0,34
1999,4,5,0.5,6.95E-06,208
2000,1,5,0.5,1.92E-05,90
2000,2,5,0,0,33
2000,3,5,0,0,32
2000,4,5,0.5,5.96E-06,194
2001,1,5,1,1.16E-05,131
2001,2,5,0.5,5.56E-06,51
2001,3,5,0,0,26
2001,4,5,0,NaN,0
2002,1,5,2.333,4.08E-05,202
2002,2,5,0,0,54
2002,3,5,0,0,32
2002,4,5,0,NaN,0
2003,1,5,1,1.55E-05,199
2003,2,5,0,0,22
2003,3,5,0,0,17
2003,4,5,0,NaN,0
2004,1,5,1.5,3.11E-05,152
2004,2,5,0,NaN,0
2004,3,5,0,0,1
2004,4,5,0.5,4.15E-06,321
2005,1,5,2,5.05E-05,148
2005,2,5,3,0.00015845,42
2005,3,5,0,0,18
2005,4,5,0,NaN,0
2006,1,5,2.833,5.96E-05,193
2006,2,5,0.5,2.24E-05,62
2006,3,5,0.5,7.44E-05,23
2006,4,5,1.5,9.02E-06,262
2007,1,5,2.5,5.35E-05,181
2007,2,5,0.5,2.45E-05,66
2007,3,5,0.5,6.58E-05,38
2007,4,5,0,NaN,0
2008,1,5,0,0,221
2008,2,5,0.5,1.86E-05,78
2008,3,5,0,0,41
2008,4,5,2,6.98E-06,353
2009,1,5,1,1.07E-05,257
2009,2,5,0,0,107
2009,3,5,0,0,55
2009,4,5,0,NaN,0
2010,1,5,2,3.69E-05,188
2010,2,5,1,3.51E-05,68
2010,3,5,0.5,3.34E-05,41
2010,4,5,1.5,8.93E-06,383
2011,1,5,0.5,7.33E-06,191
2011,2,5,0.5,1.45E-05,82
2011,3,5,0,0,44
2011,4,5,0,NaN,0
2012,1,5,3.5,4.89E-05,223
2012,2,5,1.5,4.70E-05,81
2012,3,5,1.5,0.00011707,28
2012,4,5,3.5,1.24E-05,421
2014,1,5,0,0,25
2014,2,5,0,0,43
2014,3,5,0,0,34
2014,4,5,0.5,1.51E-06,409
1999,1,6,0,0,44
1999,2,6,0,0,70
1999,3,6,0,0,34
1999,4,6,0.5,6.95E-06,208
2000,1,6,0,0,90
2000,2,6,0.5,3.59E-05,33
2000,3,6,0,0,32
2000,4,6,0,0,194
2001,1,6,0,0,131
2001,2,6,0,0,51
2001,3,6,0.5,3.56E-05,26
2001,4,6,0,NaN,0
2002,1,6,0,0,202
2002,2,6,0,0,54
2002,3,6,0,0,32
2002,4,6,0,NaN,0
2003,1,6,0,0,199
2003,2,6,0,0,22
2003,3,6,0,0,17
2003,4,6,0,NaN,0
2004,1,6,0,0,152
2004,2,6,0,NaN,0
2004,3,6,0,0,1
2004,4,6,2,1.66E-05,321
2005,1,6,0,0,148
2005,2,6,0,0,42
2005,3,6,0,0,18
2005,4,6,0,NaN,0
2006,1,6,1,2.10E-05,193
2006,2,6,0,0,62
2006,3,6,0,0,23
2006,4,6,0,0,262
2007,1,6,0,0,181
2007,2,6,0,0,66
2007,3,6,0,0,38
2007,4,6,0,NaN,0
2008,1,6,0,0,221
2008,2,6,0,0,78
2008,3,6,0.5,4.57E-05,41
2008,4,6,1.5,5.24E-06,353
2009,1,6,0.5,5.34E-06,257
2009,2,6,0,0,107
2009,3,6,0,0,55
2009,4,6,0,NaN,0
2010,1,6,0,0,188
2010,2,6,0,0,68
2010,3,6,0,0,41
2010,4,6,0.5,2.98E-06,383
2011,1,6,0,0,191
2011,2,6,0.5,1.45E-05,82
2011,3,6,0.5,2.92E-05,44
2011,4,6,0,NaN,0
2012,1,6,3.5,4.89E-05,223
2012,2,6,0,0,81
2012,3,6,0.5,3.90E-05,28
2012,4,6,2,7.11E-06,421
2014,1,6,0,0,25
2014,2,6,0,0,43
2014,3,6,0,0,34
2014,4,6,0.5,1.51E-06,409
1999,1,7,224.49,0.022654,44
1999,2,7,585.33,0.034366,70
1999,3,7,141,0.014843,34
1999,4,7,296.67,0.004126,208
2000,1,7,735.66,0.028293,90
2000,2,7,225.5,0.016187,33
2000,3,7,171,0.018557,32
2000,4,7,348.5,0.004156,194
2001,1,7,1599.5,0.018547,131
2001,2,7,752,0.0083641,51
2001,3,7,215,0.015302,26
2001,4,7,0,NaN,0
2002,1,7,1684.7,0.02944,202
2002,2,7,268,0.01978,54
2002,3,7,145,0.0079791,32
2002,4,7,0,NaN,0
2003,1,7,1135.7,0.017644,199
2003,2,7,103,0.010197,22
2003,3,7,32.5,0.0072626,17
2003,4,7,0,NaN,0
2004,1,7,907.5,0.018805,152
2004,2,7,0,NaN,0
2004,3,7,1,0.0032468,1
2004,4,7,607.66,0.0050426,321
2005,1,7,1066.8,0.026937,148
2005,2,7,349.5,0.018459,42
2005,3,7,78.5,0.016933,18
2005,4,7,0,NaN,0
2006,1,7,1218,0.025634,193
2006,2,7,348.5,0.015584,62
2006,3,7,95,0.014143,23
2006,4,7,656,0.0039468,262
2007,1,7,1007,0.021541,181
2007,2,7,378.5,0.018536,66
2007,3,7,92,0.012105,38
2007,4,7,0,NaN,0
2008,1,7,1575,0.025724,221
2008,2,7,518,0.019226,78
2008,3,7,121,0.011063,41
2008,4,7,632.5,0.0022087,353
2009,1,7,2312,0.024707,257
2009,2,7,580,0.011499,107
2009,3,7,392,0.017421,55
2009,4,7,0,NaN,0
2010,1,7,1016,0.01872,188
2010,2,7,417,0.014636,68
2010,3,7,184.5,0.012321,41
2010,4,7,558.5,0.0033242,383
2011,1,7,1069.3,0.015686,191
2011,2,7,551,0.016026,82
2011,3,7,137.5,0.008039,44
2011,4,7,0,NaN,0
2012,1,7,1539.5,0.02153,223
2012,2,7,576,0.018039,81
2012,3,7,200,0.01561,28
2012,4,7,758.5,0.0026958,421
2014,1,7,186.67,0.023135,25
2014,2,7,301.42,0.015467,43
2014,3,7,143.25,0.012209,34
2014,4,7,974,0.0029337,409
1999,1,8,164.5,0.0166,44
1999,2,8,270.83,0.015901,70
1999,3,8,86,0.0090531,34
1999,4,8,181.83,0.0025288,208
2000,1,8,429.83,0.016531,90
2000,2,8,187,0.013423,33
2000,3,8,93.5,0.010146,32
2000,4,8,222.5,0.0026534,194
2001,1,8,393.5,0.0045628,131
2001,2,8,299.5,0.0033312,51
2001,3,8,152.5,0.010854,26
2001,4,8,0,NaN,0
2002,1,8,812.42,0.014197,202
2002,2,8,237,0.017492,54
2002,3,8,200.5,0.011033,32
2002,4,8,0,NaN,0
2003,1,8,473.33,0.0073537,199
2003,2,8,84,0.0083163,22
2003,3,8,76.5,0.017095,17
2003,4,8,0,NaN,0
2004,1,8,589.5,0.012215,152
2004,2,8,0,NaN,0
2004,3,8,0,0,1
2004,4,8,110.5,0.00091696,321
2005,1,8,490,0.012373,148
2005,2,8,135.5,0.0071566,42
2005,3,8,69,0.014884,18
2005,4,8,0,NaN,0
2006,1,8,402.67,0.0084746,193
2006,2,8,444.5,0.019877,62
2006,3,8,69,0.010272,23
2006,4,8,125.5,0.00075506,262
2007,1,8,524,0.011209,181
2007,2,8,414,0.020274,66
2007,3,8,124,0.016316,38
2007,4,8,0,NaN,0
2008,1,8,482,0.0078724,221
2008,2,8,369,0.013696,78
2008,3,8,152.5,0.013943,41
2008,4,8,406.5,0.0014195,353
2009,1,8,864.5,0.0092384,257
2009,2,8,331.5,0.0065725,107
2009,3,8,279,0.012399,55
2009,4,8,0,NaN,0
2010,1,8,670,0.012345,188
2010,2,8,310.5,0.010898,68
2010,3,8,83.5,0.0055761,41
2010,4,8,250,0.001488,383
2011,1,8,870,0.012763,191
2011,2,8,260,0.007562,82
2011,3,8,153,0.0089452,44
2011,4,8,0,NaN,0
2012,1,8,671.5,0.0093908,223
2012,2,8,467.5,0.014641,81
2012,3,8,94,0.0073366,28
2012,4,8,368.5,0.0013097,421
2014,1,8,56.625,0.0070178,25
2014,2,8,150.25,0.0077096,43
2014,3,8,156.75,0.01336,34
2014,4,8,313,0.00094277,409
1999,1,9,226.5,0.022857,44
1999,2,9,370.17,0.021733,70
1999,3,9,140.5,0.01479,34
1999,4,9,666.33,0.0092671,208
2000,1,9,626.49,0.024094,90
2000,2,9,170,0.012203,33
2000,3,9,187,0.020293,32
2000,4,9,758,0.0090395,194
2001,1,9,1439,0.016686,131
2001,2,9,491,0.0054611,51
2001,3,9,207.5,0.014769,26
2001,4,9,0,NaN,0
2002,1,9,1022.2,0.017863,202
2002,2,9,326.5,0.024098,54
2002,3,9,293,0.016123,32
2002,4,9,0,NaN,0
2003,1,9,1203,0.01869,199
2003,2,9,75.667,0.0074913,22
2003,3,9,65.5,0.014637,17
2003,4,9,0,NaN,0
2004,1,9,926.5,0.019199,152
2004,2,9,0,NaN,0
2004,3,9,2.5,0.0081169,1
2004,4,9,1849.3,0.015346,321
2005,1,9,844,0.021312,148
2005,2,9,191.5,0.010114,42
2005,3,9,103,0.022217,18
2005,4,9,0,NaN,0
2006,1,9,927.5,0.01952,193
2006,2,9,368.5,0.016478,62
2006,3,9,133,0.019801,23
2006,4,9,971,0.0058419,262
2007,1,9,915.5,0.019584,181
2007,2,9,336,0.016455,66
2007,3,9,96.5,0.012698,38
2007,4,9,0,NaN,0
2008,1,9,1380,0.022539,221
2008,2,9,351,0.013028,78
2008,3,9,108.25,0.0098973,41
2008,4,9,1567.8,0.0054747,353
2009,1,9,1273,0.013604,257
2009,2,9,426,0.0084461,107
2009,3,9,272,0.012088,55
2009,4,9,0,NaN,0
2010,1,9,1207.5,0.022249,188
2010,2,9,373.5,0.01311,68
2010,3,9,92.5,0.0061772,41
2010,4,9,1363,0.0081126,383
2011,1,9,1140,0.016724,191
2011,2,9,505.75,0.014709,82
2011,3,9,191,0.011167,44
2011,4,9,0,NaN,0
2012,1,9,1385.5,0.019376,223
2012,2,9,856.5,0.026824,81
2012,3,9,142.5,0.011122,28
2012,4,9,2348.3,0.008346,421
2014,1,9,117,0.0145,25
2014,2,9,256.7,0.013172,43
2014,3,9,177,0.015086,34
2014,4,9,1776,0.0053494,409
1999,1,10,0.5,5.05E-05,44
1999,2,10,0,0,70
1999,3,10,0,0,34
1999,4,10,12.5,0.00017385,208
2000,1,10,0,0,90
2000,2,10,0,0,33
2000,3,10,0,0,32
2000,4,10,2.5,2.98E-05,194
2001,1,10,1,1.16E-05,131
2001,2,10,0,0,51
2001,3,10,0,0,26
2001,4,10,0,NaN,0
2002,1,10,1,1.75E-05,202
